Symbol	DEMO_Array_S01	DEMO_Array_S02	DEMO_Array_S03	DEMO_Array_S04	DEMO_Array_S05	DEMO_Array_S06	DEMO_Array_S07	DEMO_Array_S08	DEMO_Array_S09	DEMO_Array_S10	DEMO_Array_S11	DEMO_Array_S12
GAPDH	0.6	3.4	65.5	1.2	2.6	1.8	17.4	57.8	6.3	13.2	62.4	0.7
ACTB	4.4	4	0.7	53.3	2.3	28.2	210	3.1	388.8	0.0999	9.5	0.9
B2M	0.8	11.8	223.4	0.7	1.7	4.1	9.8	258.3	1.9	22.1	6	9.5
TBP	1.6	15.2	14.9	25.7	0.1	1	0.7	0.4	1.4	21	1.5	6.7
PPIA	109.5	25	115.3	1.9	4.1	4.1	0.8	44.7	4	0.3	6	0.6
LOC101929298	12.2	0.9	27.7	2	1.3	1.1	6	1.6	0.4	23.7	1	0.8
LOC105376128	2.1	0.2	11.8	30.2	0.8	318.3	4	1.4	0.2	1.2	1.5	1.2
LOC107985339	0.1	32.7	0.6	5.7	186.6	239.9	8.1	1	3.9	12	2.2	6.2
A1BG	3.5	8.3	0.1	2	0.1	0.9	3	2.7	0.5	9.2	10.7	1.2
A1CF	12.1	33.1	7.6	101.6	4.6	26.7	1.5	0.5	92.4	0.1	15.6	8.8
A2M	20.9	7	49.5	3	2.4	4	38.2	1.1	8	10.7	1.5	0.9
A2ML1	1.9	58.8	9.5	1.2	2.5	13.4	30.5	23.5	7.6	7	0.2	3.2
A3GALT2	0.5	17.4	2.2	0.6	6.6	108.5	0.2	40.2	0.3	11.5	0.6	21.4
A4GALT	17.8	1.6	69.5	9.2	6.8	7.3	1.4	23.9	4.3	0.9	1.9	21.4
A4GNT	0.9	8.4	8	89	8.9	7.3	1.4	562.6	2	10	2.3	43.9
AAAS	49	6.4	17.9	47.3	1	0.3	13.4	5.7	0.3	1.8	21.7	3.3
AACS	13.5	0.8	70.5	0.8	78.2	37.8	3	12.9	4.9	27.1	3.2	50.6
AADAC	5.8	135.3	0.6	1.1	1.6	0.2	3.3	2.3	2.7	2.2	70.7	1.9
AADACL2	10.1	0.7	0.2	0.3	2	2.6	349.4	5.6	105.8	0.4	59.2	19
AADACL3	0.5	73.6	2.5	5.7	9.4	183.7	2.2	0.3	1.9	19	74.8	2.2
AADACL4	0.3	84.2	0.8	17.1	7.6	0.2	5.6	108	27.2	45.5	1.3	7.4
AADAT	0.0388	0.2	1.4	6.3	24.6	201.2	0.4	0.0936	38.3	2.4	0.1	10
AAED1	6	0.5	7.1	1.2	1	0.1	31.1	2.5	5.3	47.1	1.5	18.8
AAGAB	0.4	0.8	0.3	10.1	5.4	1.3	1.7	21.2	446.8	7.3	0.9	23.4
AAK1	0.7	13.3	0.3	0.1	23	19.2	11.9	4.4	3.2	4.9	5.8	1
AAMDC	2.2	46.5	0.6	11.1	6.7	1.5	13.4	43.6	2.5	17.1	24.4	14.9
AAMP	9.9	5.1	1.9	10.6	1.9	3.7	5.1	0.1	9	4.9	6	72.5
AANAT	1.9	1.9	48.3	1.5	0.9	11	26.4	4.1	16.8	159	12.8	2.6
AAR2	6.5	12.6	2.3	0.9	18.1	4.9	5.7	59.1	3	5.1	13.3	3.5
AARD	208.8	1	9.9	2.7	40.1	0.0766	0.6	0.5	5.4	10.8	0.2	8.6
AARS	2.2	3.1	7.2	2	9.4	47.7	28.5	7.3	0.6	5.7	1	2.5
AARS2	81.4	4	0.7	29.9	0.5	3.9	0.4	0.2	2.7	0.6	2.7	1.1
AARSD1	3.7	85.1	0.1	18.7	1.1	0.7	0.1	5.2	11.3	8.1	4.2	0.3
AASDH	12	5.2	39.3	6.3	10.8	0.3	40.2	20.7	3.1	1.2	18.2	3.8
AASDHPPT	56.8	15	34.4	3.9	43.2	4.7	22	0.7	0.0121	20.2	69.4	4.6
AASS	7.5	24.6	0.2	2.7	0.0977	2.4	3.8	5.5	0.2	0.5	2.1	81.5
AATF	17.3	50.8	2.4	2.8	3.5	0.5	2.9	3.2	1.1	0.9	0.0386	5.4
AATK	0.0687	1.8	2.4	4.9	2.6	6.7	1.1	2	0.8	10.2	9.3	94.5
ABAT	1.5	19.6	245.7	14.5	0.9	52.4	3.8	6.4	6.4	2.6	7.8	21.9
ABCA1	0.5	14.6	16.5	1.1	1	9.8	0.2	8.9	34.7	0.5	8.2	6.8
ABCA10	9.6	1.3	36.4	7.6	38.9	1.9	2.2	0.6	4.5	1.2	2.5	1.3
ABCA12	19.6	2.7	4.9	0.6	0.3	8.9	24.8	0.6	3.6	4	2.8	0.5
ABCA13	21.6	14.7	13.1	0.9	6	4.1	87.3	77.2	2.9	25.6	8	99.3
ABCA2	1.2	70.6	10.1	0.0856	36.1	2.5	165.7	3.4	1.3	0.6	6.3	584.6
ABCA3	7.7	2.3	2.1	2.5	2.6	2.9	33.5	3.4	5.2	153.5	0.3	12.4
ABCA4	33.4	530.1	13.3	34.9	0.4	6.6	11.7	1.5	62.9	1.2	12.8	108.8
ABCA5	8.4	0.0782	8.4	126.8	0.2	12.3	30.9	0.0644	7.2	17	1.3	1.4
ABCA6	48.2	1.4	1.4	1	0.1	3	46.1	0.6	0.0263	2.8	134.6	9.2
ABCA7	43	11.9	328.9	0.1	4.6	0.0381	2.9	9.5	0.0959	0.4	70.1	7.8
ABCA8	5.1	8.8	1.8	21.4	1.9	25.9	2.1	14.5	2.7	8.6	1.4	2.1
ABCA9	2.2	0.7	0.9	44.8	1077.9	0.094	80.1	2	7.4	26.5	3.1	5.5
ABCB1	0.7	77.3	4.2	248.1	2.2	1	1.1	4.5	51.4	1.5	64.3	4.1
ABCB10	120.7	2.6	4.6	0.2	3.4	3	7.7	2.5	5.1	2	2.2	0.4
ABCB11	3.2	20.7	2.2	23.4	3.9	6.7	1.2	19.9	15.1	0.8	109.5	0.3
ABCB4	26.5	2.4	12	11.4	0.9	7.7	8.6	13.9	2.1	22.8	3.2	1.1
ABCB5	5	15.1	7.6	15.4	4.5	4.2	17.3	0.3	0.8	17.9	0.1	16.7
ABCB6	0.8	2.8	15.3	4.7	1.9	5.8	0.7	0.5	3.7	2.6	5.6	0.2
ABCB7	33.3	1.7	14.2	6.2	37	15.7	93.5	5.9	6.7	254.8	50.5	10.1
ABCB8	0.9	14.4	5.8	1.1	27.5	6.7	18.1	15.6	2.1	48	2.6	13
ABCB9	5	14.8	12	10.6	0.2	0.3	2.3	0.8	19.1	31.8	1	1.3
ABCC1	3.8	0.9	3.7	0.5	2.5	0.8	19.8	6	7.3	1.8	2.1	3.8
ABCC10	51.6	7.5	736.1	6.3	42.2	1.1	0.4	2.2	91.3	0.4	45.7	13.4
