Symbol	DEMO_RNAseq_S01	DEMO_RNAseq_S02	DEMO_RNAseq_S03	DEMO_RNAseq_S04	DEMO_RNAseq_S05	DEMO_RNAseq_S06	DEMO_RNAseq_S07	DEMO_RNAseq_S08	DEMO_RNAseq_S09	DEMO_RNAseq_S10	DEMO_RNAseq_S11	DEMO_RNAseq_S12	DEMO_RNAseq_S13	DEMO_RNAseq_S14	DEMO_RNAseq_S15	DEMO_RNAseq_S16	DEMO_RNAseq_S17	DEMO_RNAseq_S18	DEMO_RNAseq_S19
GAPDH	2.9	1.2	2.1	7.1	27	12.1	11.5	6.5	10.1	1	54.9	2.8	6.9	2.8	11.6	18.3	3.9	63	113.7
ACTB	148	11.6	2.3	1.4	77.4	6.4	0.8	93	9.8	3.3	2.7	61.5	2.9	1	10.1	67	19.7	0.9	2.3
B2M	0.0261	3.4	0.2	0.2	0.2	0.8	2.2	30.4	0.9	11.7	1.2	3.5	11.5	0.9	6.1	16.6	0.8	35.3	25.2
TBP	0.2	1.5	39.9	42.2	4.7	1.8	28.5	4.8	227.7	0.8	854.8	9.2	2.5	123.8	2	25.2	2.2	1.5	8.4
PPIA	4.1	9.4	127.5	0.0916	24.8	10.7	3.7	0.2	60.9	6.5	96.6	10.7	2	1.7	0.5	2.4	1.5	5.6	0.3
LOC101929298	18.2	58.7	0.7	36.9	1.7	0.3	3.4	4.7	0.2	0.0263	5.9	2.7	0.1	6.3	0.4	6	6.3	49.2	28.5
LOC105376128	4.2	3.8	9.6	3.1	2.3	1.9	0.2	3.2	11.4	44.3	0.4	0.2	0.1	0.2	1.7	33.4	61.2	2.7	5.6
LOC107985339	11.1	85	0.6	4.7	0.6	1.7	26.4	8.6	1.4	42.4	2.5	4.2	6.4	29.1	0.8	0.0803	2.8	48.7	6.1
A1BG	13.6	16	23.8	3.1	1.6	16.1	37.7	32.8	1.3	0.2	295.2	2.2	7.4	3.5	40	17.1	26.7	7.5	14.3
A1CF	0.8	3.2	4.7	3.2	3.1	15.5	0.7	0.0321	1.9	274.4	0.4	7.1	0.7	6.8	2.5	1.3	0.4	13.2	3.4
A2M	0.4	0.5	0.1	12.2	51.6	60	1	1.6	1.2	38.7	0.4	2.3	4.7	120.9	1	1.4	200.2	6.7	0.7
A2ML1	17.9	14.3	3	4.6	3.6	34.1	22.9	69.2	2.1	2.1	2.3	0.7	8.7	9.3	6.5	1.4	3.4	4.9	9.3
A3GALT2	35.5	386.5	0.1	8.4	19.4	2.9	1.7	6.7	1.4	1.6	0.2	0.4	8	23.5	33	181.8	46.7	1.8	0.4
A4GALT	18	0.9	0.4	6.7	9.8	3.7	4.7	0.2	20.3	3.1	17.4	0.3	13.3	25.2	75.2	8	0.4	1.1	6
A4GNT	1.6	1.1	4.5	1.8	13.2	107.1	15.6	0.7	0.7	0.3	1.2	0.7	2.2	17.1	9.5	1.1	4.8	10.8	4.1
AAAS	0.3	6.1	16.6	12.7	2.9	0.3	13.8	19.9	6.2	2	19.3	12.7	23.8	38.6	73.7	9.2	187.4	12.3	0.8
AACS	1.4	78.8	44.9	3.9	7.6	3.5	2.6	0.1	0.8	0.4	24.1	1.2	26.8	2.2	42	0.6	0.4	0.2	0.0122
AADAC	15.7	8.1	38.8	4.3	1.2	13.9	4.6	101.6	1.7	4	3.5	4.3	12	4.2	2.7	6.5	1.5	5.6	4.4
AADACL2	42.5	7	61.3	8.2	8.6	4.2	66.8	1.1	52.2	5.9	13.7	26	10.5	15.2	1.3	1.3	3.3	74.1	5.6
AADACL3	0.0505	2	18.4	113.1	1.7	1.1	29.9	3.9	0.2	19.9	2.7	91.5	3.6	7.6	2.6	0.0512	0.7	2.4	0.6
AADACL4	92.3	39.2	5.5	13	2.1	3.2	1.2	0.1	2.4	10.5	23.4	0.6	2	0.3	82.5	1	3.1	1.8	1.7
AADAT	94.1	0.8	3.1	3.4	3	1.4	0.5	12.9	0.6	1.8	3.5	3.9	4.4	4.8	41.1	2.8	1.4	2.7	0.5
AAED1	0.1	17.3	65.3	0.7	9.3	10.4	0.9	151.3	0.3	2.9	3.5	6.5	0.7	0.9	12.1	10.9	14	2	16
AAGAB	7.2	0.3	11.4	70.6	8	2.3	4	21.5	1.5	3.5	1.8	46.4	119.6	5.2	4.6	77.3	6.6	0.8	5.2
AAK1	15.5	1.6	103.9	43.5	2.2	7.8	0.0404	1.9	27.4	1.5	5	21.7	1.2	1.2	10.1	16.4	7.9	1.6	0.6
AAMDC	0.2	1.5	54.7	3.6	3.5	4.2	7.9	0.3	1.2	5.9	197	0.0686	6.9	42.9	7.9	11.4	0.7	7.6	9
AAMP	12.1	2.3	1.2	3.8	0.0996	6.5	7.6	311.2	8	1.1	1.8	4.5	3	7.4	0.4	75.8	17.1	2.4	16.3
AANAT	1.8	7.1	6.1	2	18	5.3	981.8	18.4	93.2	13.8	2.1	22.1	13	1.6	6.1	4.8	34.3	6.4	0.4
AAR2	3.4	3.2	2.7	1.6	0.3	9	1	7.7	28.5	98.8	6.3	0.8	15.6	23	21.6	0.8	2	29.7	0.0337
AARD	2	1.2	50	0.023	171.2	0.8	1.8	62.3	4.8	0.0806	28	18	16.8	16.6	4.1	0.9	32.4	4	110.3
AARS	13.6	0.9	3.4	0.3	0.6	24.1	6.5	38.7	4.6	25.4	2.2	17	0.8	0.3	306.1	7.7	2.2	3.6	0.6
AARS2	1.2	5.2	760.7	1.5	10.4	2.4	22.8	350.5	1	1.9	17.4	0.8	18.7	8.9	1.4	1.1	2.5	0.3	4
AARSD1	4	2	24.9	2.6	2.3	3.5	5.3	1.4	1.6	23.5	41.3	7.3	4.8	0.2	4.2	2.8	6.3	0.0782	1.6
AASDH	11.7	188.2	4.1	3.8	3.5	0.9	0.4	7.6	3.7	4.1	5.1	5.6	0.3	6.7	4	6.6	0.3	248.9	107.3
AASDHPPT	15.2	3.9	0.3	8.4	0.6	2.4	0.5	9.8	1.4	0.4	8.8	1.1	26.9	0.7	7.2	0.2	0.3	5.2	14.3
