Symbol	DEMO_RNAseq_S01	DEMO_RNAseq_S02	DEMO_RNAseq_S03	DEMO_RNAseq_S04	DEMO_RNAseq_S05	DEMO_RNAseq_S06	DEMO_RNAseq_S07	DEMO_RNAseq_S08	DEMO_RNAseq_S09	DEMO_RNAseq_S10	DEMO_RNAseq_S11	DEMO_RNAseq_S12	DEMO_RNAseq_S13	DEMO_RNAseq_S14	DEMO_RNAseq_S15	DEMO_RNAseq_S16	DEMO_RNAseq_S17	DEMO_RNAseq_S18	DEMO_RNAseq_S19
GAPDH	18599	216	1195	296	54	7	73	7	6	6	1	19	350	71	73	530	1	2	103
ACTB	40	211	6	25	323	11	82	20	83	1697	2	2	200	3	14	17	140	2	66
B2M	231	144	6	120	78	39	2973	2	22	611	7	209	53	208	111	2	111	137	111
TBP	58	5	26	6	17	243	56	217	34	2	5	17	221	45	55	85	2	16	35
PPIA	144	20	88	45	697	9	195	31	3	47	11	66	30	165	23	6	597	642	325
LOC101929298	105	82	5	92	393	80	275	17	226	165	34	3	39	36	10	38	211	738	339
LOC105376128	13	110	635	931	42	179	117	15	70	4	55	120	1503	34	45	27	573	23	151
LOC107985339	41	748	203	131	31	333	400	7	214	1391	733	57	6	46	148	39	22	124	61
A1BG	109	519	188	2	4	1531	382	53	163	117	102	324	4910	50	37	30	12	299	15
A1CF	27	6	542	74	0	85	130	414	37	94	0	53	21	840	385	120	186	200	39
A2M	164	10	59	248	61	20	4	52	3916	14	7	15	259	39	8	536	204	10	45
A2ML1	113	65	655	303	4	35	14	566	35	52	65	60	18	11	11	213	144	10	32
A3GALT2	152	4	7	96	44	26	16	6973	374	10	724	74	175	18	47	127	388	3	20
A4GALT	46	218	3	79	95	61	51	23	33	15	2	55	65	32	44	31	6	1652	405
A4GNT	161	9	121	1	59	4	69	300	16	33	18	209	30	76	457	7	44	178	210
AAAS	12	11	72	10	95	4	68	76	6	0	1449	2311	54	145	44	32	564	22	7
AACS	143	37	90	27	163	3	36	1	374	71	19	157	706	209	20	48	14	11	20
AADAC	865	187	38	164	11	13	19	20	19	4	43	14	67	551	0	64	1999	26	29
AADACL2	131	49	46	468	53	141	4	303	51	94	191	15	69	69	56	12	467	99	6
AADACL3	429	1222	10	17	92	335	32	30	106	311	33	1327	85	6	6	17	2	96	21
AADACL4	119	100	179	8	6	17	840	2375	287	8	27	2549	75	24	24	2	60	16	377
AADAT	26	265	3450	12	31	246	475	80	313	128	8	642	208	591	65	256	311	19	161
AAED1	44	9	30	47	19	788	94	15	330	399	5	6	3	562	42	98	1	23	122
AAGAB	219	111	14	112	52	56	59	33	11	2508	21	4	12	145	195	226	13	149	23
AAK1	308	416	27	263	39	142	41	128	56	1377	110	14	9	36	19	175	453	338	69
AAMDC	378	19	48	8	4169	49	988	9	14	4	25	343	281	22	184	110	9	13	7
AAMP	72	2	158	42	5	8	54	7	80	6	283	15	125	7	302	14	38	3	16
AANAT	3267	5	208	820	27	25	3	21	68	608	36	741	24	20	99	173	277	7	3
AAR2	0	106	146	147	7	3	786	179	47	49	15	117	23	4	7	204	63	26	51
AARD	96	227	159	75	79	149	4	60	7	15	28	76	2	98	1	15	13	19	74
AARS	7	122	1407	50	14	602	77	182	13	214	764	11	30	30	1351	18	61	421	4
AARS2	32	8	471	9	7	45	99	1	23	99	0	75	35	221	13	33	224	3	3
AARSD1	9	37	65	5	2	473	18	76	54	384	8	167	35	17	491	80	20	11	74
AASDH	89	4	41	108	39	29	43	742	412	138	39	2	27	4	540	71	18	7	44
AASDHPPT	118	3	5	319	835	305	155	19	10	517	273	109	1	28	5	141	2	47	6
AASS	7	12	40	50	89	1593	2	34	118	76	147	2	28	1	11	363	1	55	166
AATF	682	6	132	60	22	23	53	92	138	21	33	25	27	25	1858	81	39	573	96
