# Old HGNC symbols to the current ones.
#
# The hub carries both: El-Sayed Moustafa uses MARCHF/SEPTIN/DELEC1 and every
# other dataset uses MARCH/SEPT/DEC1, so the same gene is invisible depending
# on which spelling is typed. HGNC renamed these families in 2020 for exactly
# the reason this repository ran into: a spreadsheet turns SEPT1 into a date.
#
# Generated from the symbols actually present in the hub, then applied by
# tools/fix-gene-names.R. config/ai-synonyms.txt keeps the old spellings
# working in the search box.
#
# Format:  <old> | <current>

DEC1 | DELEC1
MARC1 | MTARC1
MARC2 | MTARC2
MARCH1 | MARCHF1
MARCH10 | MARCHF10
MARCH11 | MARCHF11
MARCH2 | MARCHF2
MARCH3 | MARCHF3
MARCH4 | MARCHF4
MARCH5 | MARCHF5
MARCH6 | MARCHF6
MARCH7 | MARCHF7
MARCH8 | MARCHF8
MARCH9 | MARCHF9
SEPT1 | SEPTIN1
SEPT10 | SEPTIN10
SEPT10P1 | SEPTIN10P1
SEPT11 | SEPTIN11
SEPT12 | SEPTIN12
SEPT14 | SEPTIN14
SEPT14P1 | SEPTIN14P1
SEPT14P12 | SEPTIN14P12
SEPT14P17 | SEPTIN14P17
SEPT14P19 | SEPTIN14P19
SEPT14P2 | SEPTIN14P2
SEPT14P21 | SEPTIN14P21
SEPT14P24 | SEPTIN14P24
SEPT14P3 | SEPTIN14P3
SEPT14P4 | SEPTIN14P4
SEPT14P8 | SEPTIN14P8
SEPT14P9 | SEPTIN14P9
SEPT2 | SEPTIN2
SEPT2P1 | SEPTIN2P1
SEPT3 | SEPTIN3
SEPT4 | SEPTIN4
SEPT4-AS1 | SEPTIN4-AS1
SEPT5 | SEPTIN5
SEPT6 | SEPTIN6
SEPT7 | SEPTIN7
SEPT7-AS1 | SEPTIN7-AS1
SEPT7P1 | SEPTIN7P1
SEPT7P2 | SEPTIN7P2
SEPT7P3 | SEPTIN7P3
SEPT7P4 | SEPTIN7P4
SEPT7P5 | SEPTIN7P5
SEPT7P6 | SEPTIN7P6
SEPT7P7 | SEPTIN7P7
SEPT7P8 | SEPTIN7P8
SEPT7P9 | SEPTIN7P9
SEPT8 | SEPTIN8
SEPT9 | SEPTIN9
